sentences,label
"Akhirnya, Jokowi bersedia mengundurkan diri.
 Gue harus siap2 nih",1
"Begal sudah mulai merambat ke wilayah CIANJURƒ??!!!
 Wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hariƒ??
 01. jalur gekbrong arah sukabmiƒ??
 02. Cibeber dari arah campaka sampe
 cilaku.",1
"Turut berduka cita atas
 meninggalnya Pejuang Angkatan 66 Bapak Cosmas Batubara hari Sabtu 27 Juli 2019 pukul 15.00 WIB. Semoga Yang Maha Kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi Nya.. Aamiin.",1
"Bantu sebar ya
Pak SBY sudah telpon Moeldoko, suruh JKW akui kekalahan. Ini info dari seorang jenderalƒ?? Jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
INFO VALID",1
Relakah anak cucu kita dibikin seperti anak2 rohingya ini ketika Komunis berkuasaƒ?????,1
"Ini kejadian di PLN PLTU Cilacap Bunton Adipala, orang Cina tidak bisa berbahasa Indonesia apalagi bahasa jawa Banyumasan tp punya KTP Cilacap atas nama Karsono, payah kie Camat dan Bupatine
Kalau bener2 terjadiƒ??????????????",1
Fadlizon: Semua warga Indonesia yg tdk pilih Prabowo di Pilpres 2019 akan km usir dr Indonesia. Serius ini si Zonk?! https://t.co/jVjxC0jhmp,1
"INFORMASI RESMI DARI DEPNAKER REPUBLIK INDONESIA !!!!!
 Selamat Anda Terpilih Mendapatkan PENGHARGAAN sebesar NT $. 350.000 dari DEPARTEMEN KETENAGA KERJAAN INDONESIA. Sebagai Pahlawan Devisa Negara terbaik Tahun 2017-2018. Kode registrasi TWN37589
 Hubungi Call office:
 +62853-9313-1245
 A/n HARYONO
 Atau kunjungi Alamat Website:
 www.DEPNAKER.yolasite.com
 1. Bagi anda penerimah pemberitahuan ini melalui Telephone atau Sms Whatsapp. Berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi.
 2. Penghargaan Depnaker Bebas Biaya dan telah mendapat sertifikat Bebas pajak dari pemerintah Republik Indonesia.
 3. Pengurusan Penghargaan telah mendapat Pengawasan dari Kepolisian Negara Republik Indonesia dumaksudkan untuk menghindari hal-hal Negatif.
 Peringatan:
 HATI HATI PENIPUAN BILA DALAM PENGURUSAN ANDA DIMINTAI BIAYA, DARI OKNUM OKNUM YANG TIDAK BERTANGGUNH JAWAB. TANPA SEPENGETAHUAN DARI PIHAK DEPNAKER RI.
 pengirim:
 Depnaker Ri.
 73538373777",1
Hahhahhahahhaha indonesia di penuhi pki ƒ??gimanah nih pa kowiƒ??..,1
Astaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai Kota?ÿ,0
"Prediksi Besok Bandung kota. Besok Di sinyalir ada Dua Kubu besar 1.Demo lg besarƒ?an 2.Ojek Online gabungan Mau Kumpul Minta Tggung jawab ke kubu Angkot Gabungan, Soalnya Di jl.bkr Grab ojek Di Tabrak Sngaja sampe Mati, Di buah batu grab Mati Jg Di Tabrak Angkot, Di karapitan Grab jg Di Gebukin Angkot, Ada jg ojek online Yg Hilang Ga ada kabar.....",1
"Irina, Istri Ahli IT Hermansyah disebut Mantan PSK",0
"Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",0
Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,1
"Pada 16 April lalu, Menteri Perdagangan Rachmat Gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh Indonesia. Namun, larangan yang tertuang dalam Peraturan Menteri Perdagangan (Permendag) Nomor 06/M-DAG/PER/1/2015 tentang Pengendalian dan Pengawasan terhadap Pengadaan, Peredaran, dan Penjualan Minuman Beralkohol itu kini akan diubah.",1
CORONA IS A HOAX,1
"Kapal Kargo dari Indonesia tujuan ke China dilaporkan tenggelam di Laut China Selatan pada Sabtu malam pukul 22:00 waktu setempat akibat kebocoran lambung Kapal. Kapal tersebut mengangkut Kadrun tujuan China dengan tujuan sebagai objek percobaan Vaksin Covid-19, dimana harga monyet di China sangat mahal sementara harga Kadrun bisa 10 kali lebih murah dari harga monyet. Sampai saat ini masih dalam penyelidikan Otoritas Tiongkok mengenai sebab kecelakaan fatal tersebut.",1
"Terlihat sekumpulan orang Jawa tulen yang sedang menyantap kuliner khas Jawa, berupa nasi samin, kebab, buaya panggang, dan minumannya tentu fifis onta segar.. Percakapan dari mereka pun memakai bahasa Jawa halus alias kromo inggil pula..Seperti, ana, akhi, antum, afwan, dan lain lain.. Hmmm, sungguh mengagumkan sekali bukan? Nb : Seng wani protes PKI.. Opo kowe Bong? ,",1
Nah Mundur lebih terhormat daripada di pecat !! Hayo yang lain Monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya ..!!!,1
"*FKPPI dari Bandung sudah berkumpul di Monas, siap siaga segala kemungkinan terjadi apabila RUU HIP di-syahkan oleh DPR.* *Revolusi jihad mati syahid atau hidup mulia, bela negara dari ancaman Komunisme..!*ƒ?",1
Pembantu yang baru datang 30 Orang di tes semuanya positif Corona,1
"SUDJIATMI DISIKSA DI ALAM BARZAKH Hj. Sudjiatmi ( Ibu Presiden Jokowi) Tersiksa di alam kubur secara sadis, secara brutal dan sangat kejam. Tanpa ampunan. Disaat tgl. 25 april 2020 bulan lalu Jenazah H. Sudjiatmi di semayamkan ke alam kubur, entah tiba2 hanya seorang yang belum beranjak dari makamnya. Beliau ternyata Presiden Joko Widodo.",1
"ASTAGHFIRULLAH, KEMARIN ƒ??BERSAMA KITA LAWAN VIRUS CORONAƒ? SEKARANG ƒ??AYO KITA BERDAMAI DNGN VIRUS CORONAƒ? ARTINYA PEMERINTAH TELAH KALAH DAN MENGIBARKAN BENDERA PUTIH TANDA MENYERAH.ƒ?",1
"Tahukah teman2 ku di group iniƒ?? Kenapa menggunakan stiker, menguntungkan pembuat nya,, Setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima Rp.250,-.",1
Mengaku Mirip Ashraf Pria ini Ingin Nikahi BCL,1
"Telah diculik Keponakan Dari ibu yulianah
 Umur anak 5 bulan
 Jenis kelamin perempuan
 Kejadian d Angkot lebak bulus parung
 Ibunda si bayi dihipnotis d Angkot, Diturunkan di pondok cabe oleh pelaku.penculikan
 Kejadian Hari sabtu 29feb 2020 sekitar jam 16.00",1
"Dapet Info dari Client, Virus Corona udah sampe sini. di Apartement TA udah ada org wuhan yg kena tp management tutup2i. Supaya mall bs beroperasi dan mrk ga rugi. barusan bgt dpt info dr client saya yg suaminya org cina, mrk ada komunitas org cina di indo dan mrk kasih tau utk jauhi apartement TA dan sekitarnya",1
Presiden Cina xi jinping mengunjungi masjid dan meminta umat Islam untuk berdoa di negara yang sedang dilanda krisis ini. Kami membutuhkan bantuan Anda.,1
"BIAYA tilang terbaru di indonesia: Kapolri baru mantap
 
 1. Tidak ada STNK
 
 Rp. 50,000
 
 2. Tdk bawa SIM
 
 Rp. 25,000
 
 3. Tdk pakai Helm
 
 Rp. 25,000",1
ƒ??JOKOWI MULAI PUC4Tƒ?? SBY UNGK4P P3L4KU K0rup51 Jiwasraya Diduga Orang Belakang JOKOW1 (HEBOH),1
PERKENALKAN: ALL JAKARTA WATER PARK,1
"Dinas Dukcapil Jakarta tidak mewajibkan warga Jakarta mengganti KK lamanya dengan tenggat waktu. Imbauan untuk segera memutakhirkan data memang terus didorong pemerintah, terutama input data status pernikahan, golongan darah, dan susunan anggota keluarga.",1
"Bayi ini 11 bln dlm perut ibunya.
 Habis usus ibunya dimakan oleh Bayi ini, kemudian dokter mengoprasi ibunya untuk mengeluarkan Bayi iniƒ?? Ketika Bayi ini keluar, dia gigit tangan perawatƒ?? Setelah 3 jam si Perawat meninggal, IBU Bayi ini pun meninggal setelah Bayi ini keluarƒ?? Bayi ini lahir dgn berat 8 kg, setelah 3 jam bertambah naik beratnya menjadi 13 kgƒ?? Bayi ini lahir hari jumat, tidak tahu Allah ingin kasi peringatan apa untuk kita semuaƒ?? Bayi ni kemudian dibunuh, dokter memberinya suntik mematikan sampai 17 kali baru bayi ini matiƒ?? Ini kisah benar-benar terjadi di Indiaƒ?? Wallahu Aƒ??lam",1
"Ngeri si, semoga tmn2 yg ada disana selamat amin yrb #PrayForJapan",1
"Presiden Korea Utara menghukum pejabatnya yang terlibat dalam kasus korupsi dihadapan para awak media cetak dan elektronik.
 
 Caranya ?
 Berrjalan bergandengan tangan laluƒ??
 Plung ! Dibawahnya kandang BUAYAƒ??ƒ??!!! Luaaaar biasaaaƒ??!!!",1
"Adapun formasi tersebut adalah merah-putih, KH Ahmad Dahlan, Logo UMM, Students Today, Leaders Tomorrow, Peta Indonesia, dan Pray for Lombok.",1
KECAMATAN PEDURUNGAN,1
TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,1
"ANEH !! MENJELANG HARI H PEMILU KOQ BISA2NYA KETUA KPU UMROH BARENG JOKOWI ??? PADAHAL BANYAK MASALAH DI KPU SAAT INI TERUTAMA DI KPLN.
BUKANKAH INI PELANGGARAN ???",1
"jalan2 naik kereta yuuuuk
 
 Hayo jalan2ƒ?? Tiket KA Promoƒ??",1
Simulasi orang Gila di bawa ke TPS saat pemilu nanti.Pertama terjadi Di Dunia.!,1
"Tabe.. Siapa tahu ada keluargata yg guru SMA, ini ada info",1
"INFO. BUAT ALUMNI 212 HARAP HINDARI POSKO 14 DI MONAS, POSKO 14 MILIK PUAN MAHARANI YANG MENUJU KE ISTIQLAL. SEBARKAN AGAR JAMAƒ??AH YANG LAIN TAU",1
Jadwal Hercules malam ini jam 19.00 dan 03.00 subuh besok. Di Lanud Makassar.,1
"ƒ??ƒ?? Capt. Pribadi adalah pengemudi pesawat yang mengijinkan Hj. Neno Warisman, sang dedengkot gerakan makar #2019GantiKhilafah untuk menggunakan sistem pengeras suara pesawat beberapa waktu lalu ƒ??ƒ?",1
Kendati sukses mengantarkan Timnas Indonesia U-19 juara Piala AFF U-19 2013 dan lolos ke putaran final Piala Asia U-19 2014,0
ini alqurƒ??an palsu karang orang kafir,1
"Ane sebarin deh videonya. Nih liat yel-yel kecebong yg merencanakan untuk menyusup di CFD untuk menghancurkan HASTAG #2019GantiPresiden.
 Cc. @BangPino_ @NetizenTofa @zarazettirazr @roninkhalid @Ndoro__Putrie @RestyCayah @ardi_riau
 ƒ??ƒ??.DAN ALLAH SEBAIK-BAIK PEMBALAS TIPU DAYAƒ?",1
"Innalillahƒ?? Hanya Karena Lalai Terobos Razia, Mobil Berisi Satu Keluarga Ditembaki Polisi, Satu Orang Tewas",0
"ƒ?Bukan dosen asing, tapi profesor kelas dunia. Orang Indonesia pun bisa mengikuti program ini, asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih Nobel,ƒ? kata Direktur Jenderal Sumber Daya Iptek dan Dikti Kemristekdikti Ali Ghufron Mukti di Jakarta, Selasa",0
"Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!
 Pernyataan kontroversial Ketua PBNU Said Aqil Siradj yang mengatakan ƒ??nonton film porno lebih baik daripada dengarkan ceramah radikal karena sambil istighfarƒ? mendapat kecaman dari pegiat pendidikan anak Neno Warisman. Dia menuliskan kemarahannya dalam tulisan berikut ini:ƒ??",1
"ƒ??Padahal nama tersebut merupakan hasil translate otomatis Google dari game aslinya yang berjudul ƒ??Galaxy Fighting, God of Kung Fuƒ?.",1
"Assalamuƒ??alaikumƒ?? ini ada informasi dari teman dokter. Anaknya bidan di Banyumas makan permen susu, trus 3 hari gk mau makan, ngefly. Disarankan temen dokter di purbalingga untuk membawa permen tsb ke BNN, ternyata hasilnya positif mengandung narkoba jenis benzodiazepin.",1
#KONSER GUE 3 MENANG TELAK,1
"Beredarnya poster aksi damai bela Islam 5 menjadi viral di media sosial. Sebab, di dalam poster tersebut terdapat nama dan foto Panglima TNI Jenderal Gatot Nurmantyo",1
"Pengumuman penting soal Pilkada DKI 2017. Pemilih Wajib ambil surat C6 on 12 ƒ?? 13 Feb dgn pengurus RT. Apabila sampe 14 Feb surat C6 tidak diambil langsung pemilik, RT akan kembalikan ke KPU & warga DKI yg tidak milik C6 hanya bisa memilih jam 12.00 ƒ?? 13.00 saja! Bawa E-KTP, SuKet + KK asli. Jika lewat dari pk 13.00 Suara Anda Hangus! Tlg Sebarkan! Thank you",0
TNI umumnya WARAS kecuali wereng coklatƒ??kenapa gitu yah ? masa sih sejarah buruk harus terulang kembaliƒ??kan serem bgt. DANJEN KOPASSUS :FPI ITU ORMAS TERBESAR DAN SUKA MEMBANTU MEMBERANTAS KEMAHSIATAN. YANG HARUS DIBUBARKAN ORMAS PREMAN YANG SUKA MEMBEKINGI KEMAHSIATAN DAN SUKA BIKIN RESAH MASYARAKAT.,1
"hati hati, dan Harus teliti menerima segala bentuk bantuan korban gempa. Kami mendapatkan gambar salib di handuk bantuan yg di edarkan",1
Tersebar gambar dua piagam yang menyatakan jika aksi 212 mendapat penghargaan dari REKOR DUNIA,1
Demo Neo PKI hari ini udah dapat ijin dari Buntelan kentut maaf ralat Dari Petinggi Kepolisian Tinggal tunggu gendering perang ditabuh ajaƒ?,1
Mana teriakan ƒ??Saya Pancasila mu ?ƒ? Oleh : Dr Abdul Muƒ??ti Med (Sekum PP Muhamadyah),1
"Bila tiba-tiba anda/panjenengan terjebak dalam oprasi rapid tes dadakan/ujug ujug datang petugas yang mengharuskan mengikuti rapid tes, maka perlu diperhatikan sarung tangan petugs, kalau sarung tangan yang dipakai hanya itu-itu saja (satu) yang dipakai, tanpa ganti ganti, dimana setelah petugas itu pegang orang/oasien yang rapid tes, kemudian tanpa ganti sarung tangan petugas lalu memegang anda/panjenengan, maka disinilah letak rawannya penularan virus nya, karena kita ngga tau dan petugas pun ngga tau, apakah orang yang dipegang sebelum kita tadi, orang tersebut positif/reaktif atau negatif.. jadi penularan bukan karena kita berada ditempat umum saja, akan tetapi saat rapid tes dilakukan massal",1
"Ini nih dokter bule juga ngomong serupa bahkan ngasih data lebih lengkap & detail. Intinya covid 19 itu biasa aja, nggak mematikan, bisa sembuh sendiri. Mereka juga mengatakan kalau banyak yang meninggal karena penyakit lain tapi dimasukkan ke daftar covid 19 (kirain di sinih aja yang begitu). Lockdown / PSBB justru menimbulkan dampak yang sangat jauh lebih buruk dibanding covid 19.",1
Kabar gembira dan istimewa.. Vietnam korban covid 19 tidak ada yng matiƒ??Berita super.. obat virus covid 19 sudah tercapai informasi dari negara Vietnam.. virus covid 19 tidak menyebabkan kematian.. ternyata resepnya sangat sederhana tapi sangat ampuh.. hanya 1 teh..2 lemon..minumlah teh panas setelah di campur perasan lemon..dapat segera membunuh virus covid 19..dan dapat sepenuhnya menghilangkan virus covid 19 dari tubuhƒ??2 bahan ini membuat sistem kekebalan tubuh menjadi bersifat basa.. karena ketika malam tiba sistem tubuh menjadi asam.. kemampuan detensif juga akan berkurang.. itulah sebabnya orang Vietnam santai saja dengan menyebarnya virus covid 19ƒ?? Di Vietnam rata2 semua orang minum segelas air panas dengan sedikit lemon di malam hariƒ?? Karena telah terbukti membunuh virus covid 19 secara totalƒ?? Bagikan resep sakti ini kepada siapapun untuk memburu pahalaƒ?? Resep sederhana ini sangat efektif karena tidak akan terinfeksi virus covid 19.. Atas izin Tuhan YMEƒ??Selamat mencobaƒ??,1
"Ratusan warga china yang Menetap di Indonesia tadi Pagi meninggalkan Indonesia Menuju Singapura karena situasi virus Corona yang menyerang Indonesia Mereka akan Kembali lagi jika situasi Di Indonesia Kembali normal,",1
Dua orang Terinfeksi Virus Corona Di Parepareƒ?? Waspada ki semuaƒ?? Tidak main main ini,1
Jangan pernah meremehkan the simpsonsƒ?? the Simpsons 1993.. Corona virus dari China..,1
"Azab yang sangat pedih menimpa seorang warga negara Amerika. Karena merobek-robek dan membakar Al-qurƒ??an, dia terkena penyakit yang sangat misteri. Semua jari di kedua tangannya melepuh, membusuk, dan menghitam. Selain itu, pada lukanya tersebut juga menimbulkan aroma yang tak sedap.",1
"Manajer Humas PT Inalum, Bambang Heru Prayoga: ƒ??Informasi selain dari yang kami sebutkan ini maka hal itu dipastikan hoaks atau penipuan. Kami harap tidak ada masyarakat yang terkena penipuan rekrutmen atas nama Inalum,",1
"*INGIN MENGETAHUI BAGAIMANA KESEHATAN JANTUNG ANDA?*
 Tes sederhana ini mendeteksi seberapa sehat jantung kita.
 Menjaga jantung agar tetap berfungsi dengan baik sangat penting untuk kehidupan sehat jangka panjang.",1
"coba dilhat baikƒ? yang melecehkan bendara Indonesia yang mana? tapi nyatanya yang sekarang di tahan di Polda metro yang pegang bendara merah putih di tangan, mohon yang punya kekuatan hukum advokat pengacara atau apa saja minta tolong didampingin anak STM ini kasihan tidak ada yang membelanya.",1
VIRAL: INDONESIA BUBAR ? INI VIDEO MERRY RIANA YANG ASLI (TONTON SAMPAI HABIS) !!! |,1
Video KEADAAN TERAKHIR jayapura ƒ??mau ke BANDARA saja sampai 3 hari dan dikawal MARINIR DIEVAKUASI ƒ??semua yg berbau JAWA HANCUR !!!,1
"Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.",0
"INNALILAHIWAINALRAJIUN..
TELAH MATI SEORANG PEMBANTAI RAKYAT HENDROPRAYONO D SINGAPOREƒ??JGN D UCAPI MENINGGAL..KARNA DIA PEMBANTAI MANUSIA",1
Truk semi kontainer Paslon 01 ini kira-kira membawa apa ,0
"INFO : Bahaya Semut/Kutu Jepang utk DIABETES.
Ada sahabat sy (ibu2) di Magelang pengidap Diabetes, kmd dia konsumsi Semut/Kutu Jepang yg katanya bisa mengobati Diabetes, mungkin benar karena Semut itu mengeluarkan insulin.
Tapi hanya dalam waktu SATU TAHUN mengkonsumsi Semut/Kutu Jepang itu, ternyata ususnya terkena bakteri dan rusak, sehingga harus dipotong ususnya.",1
"CNN INDONESIA

SERTIFIKAT GANDA KERJA REZIM JOKOWI
10 November 2018",1
"Aduh pak, bukan kelemahannya pak Jokowi itu,
anda yang gak mudeng, justru itu yang bikin anda dan kampret makin terlihat bodoh,
paham politik gak sih pak?",1
"ah Pokoknya apa kata Prabowo laaahƒ??..
 Amin Rais jangan nyinyir yaaaa keh keh keh",1
"Terkait salah satu dosennya menjadi insiator Gerakan #GantiPresiden2019 di Kabupaten Manggarai Barat, Nusa Tenggara Timur (NTT), pihak Universitas Muhammadiyah Kupang (UMK) membantah bahwa kampusnya terlibat dalam gerakan tersebut.",0
Kami Caleg Partai Gerindra dan PKS Menolak Khilafah. Indonesia Damai Menolak Khilafah di Wilayah Purwakarta. Barisan Muda Muslim Purwakarta.,0
"MENANG SONGONG, KALAH NGAMUK!",1
Terima kasih bang Romo Syafiƒ??i dan Ketua KAHMI telah membantu membebaskan ibu Himma.,1
"Bupati Purwakarta yang kini menjadi Calon Wakil Gubernur Jawa Barat, Dedi Mulyadi pernah membantah informasi yang mengatakan dirinya menghamili siswi Mts. Yang sebenarnya terjadi kata Dedi adalah Ia menjadi saksi nikah dari seorang anak tokoh masyarakat Sumedang yang tengah hamil dengan yang menghamilinya.",1
"Mantan Ketua Umum Jakmania, Larico Ranggamone : ƒ??Soal yang ramai medali Bepe hilang ditunjukkan kepada M Yusuf ini, itu medali palsu didapat dari tantenya dari PSSI. Itu beda dari medali yang didapat tim Persija,ƒ?.",1
"Malam nanti jam 3:25 pagi bulan akan mengelilingi Kaƒ??bah dan langit akan berwarna biru muda, inilah saƒ??at penerimaƒ??an doa,taubat,munajat,iniƒ?? *terjadi setiap 100 ribu tahun sekali,
 *Hari ini di malam hari siapa pun yang berdoƒ??a akan diterima. Bulan akan melakukan Tawaaf di sekitar Kaƒ??bah.
 Tolong sampaikan ini kepada semua orang. *Rabbi minkulli zambi waƒ??atubu illiahi.. , jika kamu mengirim doa ini ke temanmu, Allah akan menyelesaikan semua masalahmu.
 Tolong kirimkan ini ke Setiap orang dekat Kita sehingga mereka bisa mengetahui .. ..
 semoga bermanfaat Aamiin",1
"PENDAFTARAN PESERTA ACARA UJI NYALI ƒ??MASIH DUNIA LAINƒ? TELEVISI TRANS 7 :
Buat para spookiers yang pengen ikutan uji nyali, langsung kirim data melalui email, data yang perlu diisi adalah;
Nama :
Umur :
Alamat :
Pekerjaan :
Motivasi ikut uji nyali :
No Telp :",1
"Kemenkominfo melalui Badan Regulasi Telekomunikasi Indonesia (BRTI) menyatakan telah menerima laporan investigasi operator seluler terkait dugaan penyadapan pada kartu SIM buatan Gemalto ( Hutchinson 3, XL Axiata, Indosat, Telkomsel) oleh badan intelijen AS, National Security Agency (NSA) dan Government Communication Headquarter (GCHQ).",1
Rombongan Anies-Sandi Ditilang dan Tak Miliki Izin Patwal di Puncak Bogor,1
"Bismillah,
 Hari ini team Mualaf Center Darussalam diwakili Harsha Agousta Brahma Sadewa dan ibu Jenderal Lisze Dewi Purnamawati berangkat ke LP. Batu Nusakambangan Cilacap memastikan niat John Kei masuk Islam..
 Sebelum memutuskan masuk Islam John Kei alias John Refra pemuda asal Tutrean, Pulau Kei pernah di juluki sebagai Godfather of Jakarta..",1
"Buat teman2 yang ada kunjungan ke Jakarta, sejak 17 Agustus 2017 sudah ada transportasi kereta api dari bandara Soekarno-Hatta..?",0
Tusuk Gigi Sebarkan HIV AIDS,0
Pelaku Bom Kampung Melayu adalah Anggota Polisi,1
Pembubabaran Pengajian Ustad Khalid Basalamah Oleh Banser NU,1
Foto Helikopter-Tank Pertama di Dunia Buatan Turki dan Pakistan,1
"Siang tadi sy mampir di distributor es krim merk _*Aice*_ yg sedang marak penetrasi bisnisnya yg terletak di selatan tugu lilin makam haji, melihat banyak spanduk bertulisan china iseng2 sy tanya penjaga counter yg didepan pinggir jln, bos nya orang mana mba jakarta atau solo, dijawab : ƒ??orang chinaƒ?, lho kok tau kalau org china apa sdh pernah ketemu? Tris dia nunjuk disebuah mobil avanza putih, itu bosnya di dlm mobil itu, ngomongnya aja pake bhs china , dia asli datang dari china ..katanya. Penasaran sy tunggu si bos keluar dari mobil, betul ternyata chino!!",1
Video yang menunjukkan anak ƒ??Muslimƒ?? yang disiksa oleh ƒ??Budhaƒ?? di Myanmar,1
Foto Kerusuhan Demo Anti Trump di Amerika Serikat,1
"Aksi demo yang tanpa tujuan di depan Gedung DPR-MPR yang di lakukan 50 orang simpatisan PDI-P di komandoi oleh Boedi Djarot dkk, yang menginjak-injak, merobek, dan membakar Poster Habib Rizieq Syihab, ternyata berbuntut panjang. Di kota bandung terjadi Bentrok antara Ormas Gerakan Jaga Indonesia ( GJI-PDI-P ) dengan Ormas-ormas Islam FPI, HTI, LPI, pembela dan penjaga Pancasila, Nkri dan Ulama. Akibatnya 7 orang anggota ormasa Gerakan Jaga Indonesia & PDI-P mati kena sabetan pedang Lasykar FPI, dari pihak HTI 1 orang mengalami luka sabetan di bahu. Bukan itu saja Bentrokan pun meluas hingga terjadi Kebakaran beberapa pertokoan yang berdekatan dengan Markas PDI-P, karena lemparan Bom Molotov. Aparat Polisi pun tidak berani ke Tkp",1
Kecelakaan Maut Di Air Terjun Uluk Til Belu NTT,1
"ƒ??Lebih jauh, Prijanto mengatakan, istilah petugas partai yang disampaikan Ketua Umum PDIP Megawati Soekarnoputri kepada Jokowi juga dinilai modus komunisme. Sebab, istilah petugas partai mirip dengan pekerja partai yang pernah dikatakan tokoh PKI DN Aidit.",1
GUBERNUR JAKARTA ANIES BASWEDAN MENDAPAT PENGHARGAAN TERBAIK DI SELURUH DUNIA DALAM PENANGANAN COVID-19,1
"Kabar Terbaru dari NEW ZEALAND Subhanallah,,,, masyarakat New Zealand pd belajar Wudhu. Dan Kumpul di Lapangan. Mereka Mulai Belajar dan Mendalami Islam Kalau Allah Sudah Berkehendak,, ! Semua bisa terjadi. Allahu Akbar !!! Sungguh Allah Maha Pembolak Balik Hati Manusia",1
Kabar Terkini.. Sejumlah Polisi India Telah Tiba Di Indonesia Untuk menertibkan Masyarakat yg tdk mau tinggal di rumah..Siapkan Pantat dan Minyak Gosok.,1
Military vehicles arrived in Manhattan.NEW YORK WUHAN CORONAVIRUS,1
"KELUYURAN DILUAR RUMAHƒ????
 DI MALAYSIA DITEMBAK API PAKAI DRONEƒ??.",1
"ANTISIPASI CORONA, SELURUH BUMN DKI DITUTUP",1
Manusia yg gk punya nilai dn kuwalitas gk pantas mnjdi apapun di negeri ini..,1
"Sandiwara Dagelan koplax, di perskusi sendiri,di viralkan sendiri,di laporkan sendiri, minta maaf dan memaafkan sendiri? Sakit jiwa kali yang beginian ya?",1
"Kepala Satpol PP dan Damkar, Martin Nandung: ƒ??Gak jelas sumber dan tidak ada penanggungjawab. Ndak ada cap dan tanda tangan,",1
"Ketua KPU Imbau Masyarakat Hormati Hasil Pemilu Walau Banyak Kecurangan,",1
"Hoaks, mbak. Kegiatan belajar normal, kegiatan kampus juga normal",1
